Rank,Title,Type,Premiere,Genre,Watchtime_M
1538,The Forgotten Battle,Movie,2021.0,War,13.6
1539,The Platform,Movie,2020.0,Science Fiction,13.6
1542,Finding 'Ohana,Movie,2021.0,Adventure,13.6
1544,Get Out,Movie,2017.0,Horror,13.6
1553,Pets United,Movie,2019.0,Animation,13.5
1555,Pixels,Movie,2015.0,Science Fiction,13.5
1556,SAS: Red Notice,Movie,2021.0,Action,13.5
1572,Captain Underpants: The First Epic Movie,Movie,2017.0,Animation,13.4
1578,Brawl in Cell Block 99,Movie,2017.0,Thriller,13.3
1579,Dr. Seuss' The Cat in the Hat,Movie,2003.0,Fantasy,13.3
1582,"Kiss, Kiss!",Movie,2023.0,Comedy,13.3
1583,Madagascar: Escape 2 Africa,Movie,2008.0,Animation,13.3
1584,Perfume: The Story of a Murderer,Movie,2006.0,Drama,13.3
1586,Tyler Perry's I Can Do Bad All By Myself (The Play),Movie,2005.0,Comedy,13.3
1587,UglyDolls,Movie,2019.0,Animation,13.3
1590,Dirty Grandpa,Movie,2016.0,Comedy,13.2
1593,Peter Rabbit 2: The Runaway,Movie,2021.0,Adventure,13.2
1595,Rise of the Guardians,Movie,2012.0,Animation,13.2
1598,The Tournament,Movie,2009.0,Horror,13.1
1604,Hunter Killer,Movie,2018.0,Action,13.1
1608,12 Strong,Movie,2018.0,War,13.0
1610,Chickenhare and the Hamster of Darkness,Movie,2022.0,Animation,13.0
1614,Power Rangers,Movie,2017.0,Science Fiction,13.0
1615,The Gentlemen,Movie,2020.0,Crime,13.0
1616,The King,Movie,2019.0,History,13.0
1617,Things Heard & Seen,Movie,2021.0,Horror,13.0
1618,Kathal,Movie,2023.0,Comedy,12.9
1620,Love and Monsters,Movie,2021.0,Adventure,12.9
1623,The Chalk Line,Movie,2022.0,Horror,12.9
1627,Code 8,Movie,2019.0,Science Fiction,12.9
1635,Royalteen: Princess Margrethe,Movie,2023.0,Drama,12.8
1639,Fast & Furious Presents: Hobbs & Shaw,Movie,2019.0,Action,12.7
1645,Felon,Movie,2008.0,Drama,12.6
1646,Flight,Movie,2012.0,Thriller,12.6
1647,JoJo's Bizarre Adventure: Diamond Is Unbreakable - Chapter 1,Movie,2017.0,Action,12.6
1650,Scarface,Movie,1983.0,Thriller,12.6
1652,The Last Mercenary,Movie,2021.0,Action,12.6
1654,Jack Reacher,Movie,2012.0,Action,12.5
1658,Fall,Movie,2022.0,Thriller,12.5
1660,Fractured,Movie,2019.0,Thriller,12.5
1662,In the Shadow of the Moon,Movie,2019.0,Crime,12.5
1665,National Security,Movie,2003.0,Action,12.5
1666,Spider-Man: Into the Spider-Verse,Movie,2018.0,Superhero,12.5
1668,The Mummy,Movie,2017.0,Adventure,12.5
1669,This Is 40,Movie,2012.0,Comedy,12.5
1674,Bridge to Terabithia,Movie,2007.0,Fantasy,12.4
1675,Den of Thieves,Movie,2018.0,Action,12.4
1676,Easy A,Movie,2010.0,Comedy,12.4
1678,Gifted Hands: The Ben Carson Story,Movie,2009.0,Biography,12.4
1679,Harry Potter and the Deathly Hallows: Part 2,Movie,2011.0,Fantasy,12.4
1685,The Week Of,Movie,2018.0,Comedy,12.4
1686,Wonder,Movie,2017.0,Drama,12.4
1694,Takers,Movie,2010.0,Thriller,12.3
1697,A Man of Action,Movie,2022.0,Drama,12.2
1700,Beyond the Universe,Movie,2022.0,Comedy,12.2
1701,Cirkus,Movie,2022.0,Comedy,12.2
1704,Mighty Morphin Power Rangers: Once & Always,Movie,2023.0,Family,12.2
1705,Mr. Harrigan's Phone,Movie,2022.0,Horror,12.2
1706,Old,Movie,2021.0,Thriller,12.2
1709,Spider-Man: Homecoming,Movie,2017.0,Superhero,12.2
1710,The Children's Kingdom,Movie,2016.0,Family,12.2
1712,The Twilight Saga: Breaking Dawn - Part 1,Movie,2011.0,Fantasy,12.2
1714,The Ridiculous 6,Movie,2015.0,Comedy,12.1
1715,The Snowman,Movie,2017.0,Crime,12.1
1716,The Twilight Saga: Eclipse,Movie,2010.0,Fantasy,12.1
1723,The Babysitter: Killer Queen,Movie,2020.0,Horror,12.1
1724,Hubie Halloween,Movie,2020.0,Comedy,12.0
1725,Kung Fu Panda,Movie,2008.0,Animation,12.0
1726,Mili,Movie,2022.0,Thriller,12.0
1727,Monsters vs Aliens,Movie,2009.0,Animation,12.0
1732,The Age of Adaline,Movie,2015.0,Romance,12.0
1733,The Amazing Spider-Man,Movie,2012.0,Superhero,12.0
1736,Carter,Movie,2022.0,Action,11.9
1743,John Mulaney: Baby J,Movie,2023.0,Stand-Up,11.9
1745,No Escape,Movie,2015.0,Thriller,11.9
1747,Rurouni Kenshin: The Beginning,Movie,2021.0,Action,11.9
1753,20th Century Girl,Movie,2022.0,Drama,11.9
1758,Cine Gibi: O Filme,Movie,2004.0,Animation,11.8
1764,Battleship,Movie,2012.0,Science Fiction,11.8
1765,London Has Fallen,Movie,2016.0,Action,11.8
1767,One More Time,Movie,2023.0,Comedy,11.8
1771,The Last Days of American Crime,Movie,2020.0,Science Fiction,11.8
1772,Moneyball,Movie,2011.0,Drama,11.7
1773,Ava,Movie,2020.0,Thriller,11.7
1774,Barbie: Dolphin Magic,Movie,2017.0,Animation,11.7
1775,Blade Runner 2049,Movie,2017.0,Science Fiction,11.7
1779,Intrusion,Movie,2021.0,Thriller,11.7
1780,iNumber Number: Jozi Gold,Movie,2023.0,Crime,11.7
1785,The Lord of the Rings: The Two Towers,Movie,2002.0,Fantasy,11.7
1794,No Manches Frida,Movie,2016.0,Comedy,11.6
